"URL","Status","Canonical","H1Count","NoindexFound"
"http://localhost:3000/","200","https://pvlabs.ai","2","NO"
"http://localhost:3000/services","200","https://pvlabs.ai/services","2","NO"
"http://localhost:3000/blog","200","https://pvlabs.ai/blog","2","NO"
"http://localhost:3000/contact","200","https://pvlabs.ai/contact","2","NO"
"http://localhost:3000/services/listing-images","200","https://pvlabs.ai/services/listing-images","1","NO"
"http://localhost:3000/services/a-plus-content","200","https://pvlabs.ai/services/a-plus-content","1","NO"
"http://localhost:3000/services/brand-store","200","https://pvlabs.ai/services/brand-store","1","NO"
"http://localhost:3000/blog/amazon-listing-guide-2026","200","https://pvlabs.ai/blog/amazon-listing-guide-2026","1","NO"
"http://localhost:3000/blog/amazon-a-plus-content-guide","200","https://pvlabs.ai/blog/amazon-a-plus-content-guide","1","NO"
"http://localhost:3000/blog/flipkart-listing-requirements-2026","200","https://pvlabs.ai/blog/flipkart-listing-requirements-2026","1","NO"
